Sample in Buffer,Sample in Window,TRIGGER,proc_system_i/system_ila_0/U0/net_slot_0_axis_tdata[31:0],proc_system_i/system_ila_0/U0/net_slot_0_axis_tvalid,proc_system_i/system_ila_0/U0/net_slot_0_axis_tready,proc_system_i/system_ila_0/U0/net_slot_0_axis_tlast
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
0,0,1,16f7e7df,1,1,0
1,1,0,13aee51f,1,1,0
2,2,0,1011e2d1,1,1,0
3,3,0,0c30e0ff,1,1,0
4,4,0,081cdfb0,1,1,0
5,5,0,03e5deea,1,1,0
6,6,0,ff9edeb0,1,1,0
7,7,0,fb58df02,1,1,0
8,8,0,f726dfe1,1,1,0
9,9,0,f31ae148,1,1,0
10,10,0,ef44e330,1,1,0
11,11,0,ebb5e593,1,1,0
12,12,0,e87ce866,1,1,0
13,13,0,e5a6eb9c,1,1,0
14,14,0,e340ef29,1,1,0
15,15,0,e154f2fd,1,1,0
16,16,0,dfe9f709,1,1,0
17,17,0,df07fb3a,1,1,0
18,18,0,deb0ff7f,1,1,0
19,19,0,dee603c7,1,1,0
20,20,0,dfa807fe,1,1,0
21,21,0,e0f40c14,1,1,0
22,22,0,e2c20ff6,1,1,0
23,23,0,e50d1395,1,1,0
24,24,0,e7ca16e1,1,1,0
25,25,0,eaed19cc,1,1,0
26,26,0,ee691c49,1,1,0
27,27,0,f2301e4f,1,1,0
28,28,0,f6321fd5,1,1,0
29,29,0,fa5c20d3,1,1,0
30,30,0,fe9f2147,1,1,0
31,31,0,02e8212d,1,1,0
32,32,0,07242087,1,1,0
33,33,0,0b421f58,1,1,0
34,34,0,0f301da3,1,1,0
35,35,0,12de1b71,1,1,0
36,36,0,163c18cb,1,1,0
37,37,0,193c15bc,1,1,0
38,38,0,1bd11250,1,1,0
39,39,0,1df00e97,1,1,0
40,40,0,1f900aa1,1,1,0
41,41,0,20aa067d,1,1,0
42,42,0,213b023e,1,1,0
43,43,0,213efdf5,1,1,0
44,44,0,20b5f9b5,1,1,0
45,45,0,1fa1f58f,1,1,0
46,46,0,1e07f196,1,1,0
47,47,0,1beeedd9,1,1,0
48,48,0,195eea6a,1,1,0
49,49,0,1664e756,1,1,0
50,50,0,130ae4aa,1,1,0
51,51,0,0f5fe272,1,1,0
52,52,0,0b74e0b7,1,1,0
53,53,0,0758df81,1,1,0
54,54,0,031dded4,1,1,0
55,55,0,fed5deb4,1,1,0
56,56,0,fa91df21,1,1,0
57,57,0,f665e019,1,1,0
58,58,0,f261e198,1,1,0
59,59,0,ee97e398,1,1,0
60,60,0,eb16e610,1,1,0
61,61,0,e7efe8f6,1,1,0
62,62,0,e52dec3d,1,1,0
63,63,0,e2dcefd8,1,1,0
64,64,0,e107f3b8,1,1,0
65,65,0,dfb5f7cb,1,1,0
66,66,0,deecfc02,1,1,0
67,67,0,deaf0049,1,1,0
68,68,0,deff048f,1,1,0
69,69,0,dfdb08c1,1,1,0
70,70,0,e13f0cce,1,1,0
71,71,0,e32510a6,1,1,0
72,72,0,e5851436,1,1,0
73,73,0,e8561771,1,1,0
74,74,0,eb8a1a49,1,1,0
75,75,0,ef161cb2,1,1,0
76,76,0,f2e91ea0,1,1,0
77,77,0,f6f3200e,1,1,0
78,78,0,fb2320f3,1,1,0
79,79,0,ff69214d,1,1,0
80,80,0,03b02119,1,1,0
81,81,0,07e8205a,1,1,0
82,82,0,0bff1f11,1,1,0
83,83,0,0fe21d45,1,1,0
84,84,0,13831afd,1,1,0
